pitcher,k,team,ip,xfip,siera,KBB,K-BB%,stuff_plus
Hayden Juenger,hayden juenger,2 Tms,16.0,6.57,6.15,-0.025,-2.5%,87
Robert Garcia,robert garcia,TEX,8.0,5.34,6.03,-0.0289999999999999,-2.9%,112
Brett Sullivan,brett sullivan,COL,7.2,5.97,6.09,-0.0289999999999999,-2.9%,22
Philip Abner,philip abner,ARI,14.1,6.03,6.01,-0.031,-3.1%,91
J.P. France,jp france,HOU,6.2,6.62,6.04,-0.032,-3.2%,95
Brendan Beck,brendan beck,NYY,6.2,7.31,7.05,-0.032,-3.2%,86
Marco Gonzales,marco gonzales,TEX,6.2,6.48,6.31,-0.034,-3.4%,93
Lucas Giolito,lucas giolito,SD,29.2,6.34,6.49,-0.036,-3.6%,87
Tyler Heineman,tyler heineman,2 Tms,5.1,6.2,6.41,-0.038,-3.8%,9
Corbin Martin,corbin martin,CHC,5.0,7.2,6.45,-0.04,-4.0%,94
Miguel Rojas,miguel rojas,LAD,4.0,7.23,6.16,-0.043,-4.3%,36
Tyler Gilbert,tyler gilbert,CWS,3.2,7.61,6.38,-0.045,-4.5%,107
Jared Shuster,jared shuster,STL,9.0,6.21,6.02,-0.045,-4.5%,90
Geoff Hartlieb,geoff hartlieb,OAK,13.1,6.93,6.46,-0.047,-4.7%,88
Nolan Hoffman,nolan hoffman,PHI,4.2,5.78,5.99,-0.048,-4.8%,97
Ben Williamson,ben williamson,TB,5.0,7.01,7.42,-0.048,-4.8%,30
Ricky Vanasco,ricky vanasco,DET,6.1,8.24,6.36,-0.05,-5.0%,89
Danny Coulombe,danny coulombe,BOS,22.0,6.14,6.3,-0.052,-5.2%,95
Justin Verlander,justin verlander,DET,3.2,7.06,7.19,-0.053,-5.3%,101
Rodolfo Durán,rodolfo durn,SD,3.0,9.12,7.36,-0.053,-5.3%,51
Austin Voth,austin voth,2 Tms,10.0,7.61,6.77,-0.054,-5.4%,91
Mitch Spence,mitch spence,KC,9.1,6.8,6.36,-0.054,-5.4%,90
Kyle Higashioka,kyle higashioka,TEX,3.0,8.11,6.99,-0.0559999999999999,-5.6%,32
Josh Fleming,josh fleming,TOR,3.0,7.43,5.57,-0.0559999999999999,-5.6%,107
Jorbit Vivas,jorbit vivas,WSH,2.2,10.43,7.46,-0.0559999999999999,-5.6%,28
Nick Raquet,nick raquet,BAL,3.2,7.88,7.03,-0.059,-5.9%,99
Myles Straw,myles straw,TOR,3.0,5.6,5.06,-0.067,-6.7%,19
Garrett Stubbs,garrett stubbs,PHI,3.1,7.16,7.52,-0.067,-6.7%,40
Leo Rivas,leo rivas,SEA,1.0,15.15,7.48,-0.077,-7.7%,29
Alek Manoah,alek manoah,LAA,7.1,7.67,6.97,-0.077,-7.7%,66
Joey Lucchesi,joey lucchesi,LAA,3.1,8.34,6.81,-0.083,-8.3%,100
Gregory Santos,gregory santos,SF,5.0,6.0,6.47,-0.091,-9.1%,99
Tanner Andrews,tanner andrews,TOR,3.0,6.43,6.96,-0.091,-9.1%,88
Tyler Tolbert,tyler tolbert,KC,4.2,8.25,6.74,-0.091,-9.1%,45
Robby Snelling,robby snelling,MIA,5.0,6.2,7.27,-0.091,-9.1%,105
Carlos Cortes,carlos cortes,OAK,8.0,7.92,7.27,-0.098,-9.8%,59
Alex Jackson,alex jackson,MIN,2.0,9.12,8.07,-0.1,-10.0%,27
Andrew Wantz,andrew wantz,2 Tms,3.2,9.51,7.5,-0.1,-10.0%,103
Luisangel Acuña,luisangel acua,CWS,2.1,5.67,6.07,-0.1,-10.0%,40
Emiliano Teodo,emiliano teodo,TEX,1.2,7.3,7.02,-0.1,-10.0%,106
Andre Granillo,andre granillo,WSH,9.1,8.25,7.32,-0.1,-10.0%,98
John Klein,john klein,MIN,4.1,7.37,7.52,-0.105,-10.5%,96
Braxton Garrett,braxton garrett,MIA,4.1,8.41,8.14,-0.107,-10.7%,90
Victor Robles,victor robles,SEA,1.0,7.6,6.58,-0.111,-11.1%,55
Wyatt Mills,wyatt mills,LAD,6.1,8.39,7.58,-0.111,-11.1%,99
Justin Martinez,justin martinez,ARI,2.0,8.1,7.27,-0.111,-11.1%,129
Troy Johnston,troy johnston,COL,2.0,8.35,6.97,-0.111,-11.1%,55
Eric Cerantola,eric cerantola,KC,5.1,7.22,8.85,-0.111,-11.1%,89
Doug Nikhazy,doug nikhazy,CWS,2.0,5.84,6.12,-0.111,-11.1%,64
Dylan Moore,dylan moore,PHI,1.2,7.59,6.09,-0.125,-12.5%,13
Bryan Torres,bryan torres,STL,2.0,6.85,8.17,-0.125,-12.5%,28
Andrew Vaughn,andrew vaughn,MIL,1.0,8.6,6.89,-0.125,-12.5%,35
Joey Wiemer,joey wiemer,WSH,2.0,12.87,8.45,-0.125,-12.5%,36
James McCann,james mccann,ARI,4.0,7.6,6.91,-0.13,-13.0%,45
Matt Seelinger,matt seelinger,NYM,2.0,10.11,8.05,-0.133,-13.3%,101
Tyler Callihan,tyler callihan,PIT,3.0,8.44,7.87,-0.133,-13.3%,41
Adam Frazier,adam frazier,LAA,2.0,9.11,7.7,-0.143,-14.3%,37
Kyle Nicolas,kyle nicolas,CIN,7.1,8.76,8.61,-0.143,-14.3%,94
Parker Mushinski,parker mushinski,COL,6.2,7.83,7.77,-0.147,-14.7%,102
Chase Lee,chase lee,TOR,8.0,7.66,8.11,-0.162,-16.2%,96
Chadwick Tromp,chadwick tromp,BAL,1.0,9.11,8.49,-0.1669999999999999,-16.7%,33
Nolan Kingham,nolan kingham,TEX,1.0,10.11,9.21,-0.1669999999999999,-16.7%,89
Ildemaro Vargas,ildemaro vargas,ARI,3.2,9.24,8.89,-0.176,-17.6%,45
Jedixson Paez,jedixson paez,CWS,3.0,10.11,9.13,-0.187,-18.7%,81
Wilkin Ramos,wilkin ramos,SF,2.0,8.84,8.44,-0.2,-20.0%,94
Max Schuemann,max schuemann,NYY,1.0,9.11,10.04,-0.2,-20.0%,41
Buddy Kennedy,buddy kennedy,SF,1.0,13.62,9.12,-0.222,-22.2%,12
