pitcher,k,team,ip,xfip,siera,KBB,K-BB%,stuff_plus
José Fermin,jos fermin,LAA,43.2,3.56,3.37,0.17,17.0%,104
Steven Cruz,steven cruz,KC,49.2,3.7,3.42,0.17,17.0%,108
José Alvarado,jos alvarado,PHI,47.0,4.1,3.46,0.17,17.0%,116
Michael Soroka,michael soroka,ARI,95.1,3.72,3.79,0.17,17.0%,94
Joe Mantiply,joe mantiply,TOR,17.2,3.41,3.27,0.1689999999999999,16.9%,112
Ty Madden,ty madden,DET,39.0,3.81,3.47,0.1689999999999999,16.9%,88
Aaron Nola,aaron nola,PHI,137.0,3.79,3.81,0.1689999999999999,16.9%,104
Devin Williams,devin williams,NYM,38.2,3.6,3.49,0.1689999999999999,16.9%,110
Hunter Harvey,hunter harvey,CHC,4.0,4.1,3.46,0.1669999999999999,16.7%,106
Jake Rogers,jake rogers,DET,2.1,3.73,3.22,0.1669999999999999,16.7%,31
Jhonathan Díaz,jhonathan daz,SEA,1.1,3.85,3.62,0.1669999999999999,16.7%,97
Seth Martinez,seth martinez,BOS,1.0,5.6,3.62,0.1669999999999999,16.7%,111
Evan Sisk,evan sisk,PIT,40.2,4.03,3.46,0.1669999999999999,16.7%,105
Joey Estes,joey estes,OAK,4.1,4.02,4.25,0.1669999999999999,16.7%,89
Edgardo Henriquez,edgardo henriquez,LAD,52.2,3.83,3.48,0.1669999999999999,16.7%,127
Rolddy Muñoz,rolddy muoz,ATL,2.0,3.1,2.99,0.1669999999999999,16.7%,93
Kyle Hurt,kyle hurt,LAD,41.0,3.82,3.53,0.1669999999999999,16.7%,94
Eiberson Castellano,eiberson castellano,COL,3.0,2.75,2.17,0.1669999999999999,16.7%,90
Robert Suarez,robert suarez,ATL,32.0,3.39,3.34,0.165,16.5%,109
Tommy Nance,tommy nance,2 Tms,48.1,3.26,3.33,0.165,16.5%,104
Eury Pérez,eury prez,MIA,127.2,3.95,3.87,0.165,16.5%,115
Eduard Bazardo,eduard bazardo,SEA,59.0,3.97,3.56,0.165,16.5%,104
Enyel De Los Santos,enyel de los santos,HOU,60.0,3.92,3.54,0.165,16.5%,95
Connor Brogdon,connor brogdon,CLE,15.1,4.31,3.7,0.1639999999999999,16.4%,96
Casey Mize,casey mize,2 Tms,104.2,4.15,4.05,0.1639999999999999,16.4%,88
Spencer Miles,spencer miles,TOR,80.1,3.22,3.24,0.1639999999999999,16.4%,101
Dean Kremer,dean kremer,2 Tms,58.2,3.86,3.89,0.163,16.3%,91
Ranger Suarez,ranger suarez,BOS,118.1,3.56,3.82,0.163,16.3%,94
Caleb Kilian,caleb kilian,2 Tms,47.2,3.77,3.5,0.163,16.3%,103
Brooks Raley,brooks raley,2 Tms,48.1,3.9,3.53,0.162,16.2%,109
Peyton Gray,peyton gray,TEX,51.2,4.04,3.55,0.162,16.2%,92
Yennier Cano,yennier cano,BAL,41.2,3.14,2.85,0.162,16.2%,109
Andrew Nardi,andrew nardi,MIA,22.2,4.02,3.56,0.162,16.2%,109
Jake Bird,jake bird,2 Tms,37.2,4.16,3.53,0.161,16.1%,110
Drew Rom,drew rom,2 Tms,11.1,4.11,3.68,0.161,16.1%,90
Jack Perkins,jack perkins,OAK,90.1,4.28,3.8,0.161,16.1%,98
Taj Bradley,taj bradley,MIN,140.2,3.98,3.96,0.16,16.0%,109
Colton Gordon,colton gordon,HOU,9.1,4.12,3.68,0.16,16.0%,98
Jordan Montgomery,jordan montgomery,TEX,10.0,3.14,3.24,0.159,15.9%,91
Foster Griffin,foster griffin,2 Tms,149.1,3.8,3.86,0.159,15.9%,98
Greg Weissert,greg weissert,BOS,49.1,3.88,3.53,0.159,15.9%,104
Keegan Thompson,keegan thompson,COL,12.0,4.14,3.78,0.158,15.8%,91
Josh Simpson,josh simpson,SEA,7.1,5.08,3.78,0.158,15.8%,109
Spencer Strider,spencer strider,ATL,39.0,4.36,4.14,0.158,15.8%,97
Fernando Cruz,fernando cruz,NYY,53.2,4.35,3.75,0.157,15.7%,98
Abner Uribe,abner uribe,MIL,48.1,3.43,3.36,0.157,15.7%,109
Max Fried,max fried,NYY,86.1,3.58,3.82,0.157,15.7%,106
Cole Winn,cole winn,TEX,46.2,3.85,3.6,0.156,15.6%,99
Logan Allen,logan allen,CLE,9.1,3.79,3.61,0.156,15.6%,97
Mason Fluharty,mason fluharty,TOR,52.0,4.09,3.68,0.155,15.5%,105
Victor Mederos,victor mederos,ATL,23.0,4.51,3.75,0.155,15.5%,102
Sonny Gray,sonny gray,BOS,138.2,3.64,3.83,0.155,15.5%,101
Hogan Harris,hogan harris,OAK,56.2,3.84,3.66,0.154,15.4%,105
Connor Prielipp,connor prielipp,MIN,93.2,3.97,3.96,0.154,15.4%,103
Jack Flaherty,jack flaherty,DET,86.1,4.45,4.12,0.154,15.4%,100
Bryan Hudson,bryan hudson,CWS,53.2,3.9,3.62,0.154,15.4%,107
Sean Manaea,sean manaea,NYM,117.0,4.2,3.85,0.154,15.4%,103
Wyatt Olds,wyatt olds,BOS,3.1,2.94,3.66,0.154,15.4%,107
Chase Dollander,chase dollander,COL,44.0,3.93,3.66,0.153,15.3%,110
Shane Drohan,shane drohan,MIL,105.1,3.9,3.88,0.153,15.3%,99
Mason Englert,mason englert,TB,35.2,4.25,3.95,0.153,15.3%,95
Travis Adams,travis adams,MIN,42.0,4.13,3.71,0.151,15.1%,93
Connelly Early,connelly early,BOS,91.2,4.09,3.99,0.151,15.1%,103
Kyle Hart,kyle hart,SD,53.1,3.81,3.58,0.151,15.1%,107
Blake Treinen,blake treinen,LAD,23.0,3.73,3.57,0.15,15.0%,108
Luis Medina,luis medina,OAK,58.1,4.13,3.74,0.15,15.0%,104
Jhony Brito,jhony brito,SD,5.1,4.7,4.24,0.15,15.0%,104
Matthew Liberatore,matthew liberatore,STL,125.0,4.06,4.04,0.15,15.0%,98
Brady Basso,brady basso,OAK,24.0,3.83,3.8,0.15,15.0%,99
Jovani Morán,jovani morn,BOS,54.0,3.97,3.72,0.149,14.9%,100
Tejay Antone,tejay antone,CIN,42.0,4.26,3.65,0.149,14.9%,101
Kyle Backhus,kyle backhus,PHI,20.0,3.87,3.59,0.149,14.9%,110
Lake Bachar,lake bachar,2 Tms,71.2,4.28,3.8,0.149,14.9%,98
Robby Ahlstrom,robby ahlstrom,TEX,30.1,3.92,3.65,0.148,14.8%,107
Will Klein,will klein,LAD,41.2,3.51,3.47,0.148,14.8%,95
Joe Boyle,joe boyle,TB,19.0,4.04,4.0,0.148,14.8%,109
Will Warren,will warren,NYY,122.0,3.83,3.99,0.148,14.8%,103
Kyle Leahy,kyle leahy,STL,126.1,3.7,3.93,0.147,14.7%,92
Graham Ashcraft,graham ashcraft,CIN,27.0,3.56,3.73,0.147,14.7%,112
Justin Sterner,justin sterner,OAK,42.2,4.14,3.73,0.147,14.7%,100
Robert Gasser,robert gasser,MIL,77.0,4.37,4.15,0.147,14.7%,105
Will Vest,will vest,DET,26.2,3.43,3.2,0.147,14.7%,105
Wilber Dotel,wilber dotel,PIT,28.2,3.71,3.67,0.146,14.6%,102
Cole Ragans,cole ragans,KC,35.1,4.37,4.29,0.146,14.6%,109
Dustin May,dustin may,2 Tms,124.0,3.95,4.02,0.145,14.5%,102
JoJo Romero,jojo romero,STL,43.0,3.89,3.59,0.145,14.5%,109
Tanner Gordon,tanner gordon,COL,76.2,4.47,4.05,0.145,14.5%,86
Bennett Sousa,bennett sousa,HOU,16.2,4.3,3.85,0.145,14.5%,107
Alex Vesia,alex vesia,LAD,45.1,4.37,3.99,0.144,14.4%,115
Colin Holderman,colin holderman,CLE,51.0,3.97,3.51,0.144,14.4%,108
Joey Cantillo,joey cantillo,CLE,130.1,3.89,4.08,0.144,14.4%,95
George Kirby,george kirby,SEA,140.0,3.91,4.05,0.143,14.3%,101
Nicky Lopez,nicky lopez,TEX,1.0,2.6,3.07,0.143,14.3%,14
Shane McClanahan,shane mcclanahan,TB,107.1,3.98,4.07,0.142,14.2%,107
AJ Blubaugh,aj blubaugh,HOU,80.1,4.43,3.89,0.142,14.2%,103
José Urquidy,jos urquidy,2 Tms,19.0,4.26,3.78,0.141,14.1%,98
Ryan Gusto,ryan gusto,MIA,57.2,4.14,4.07,0.141,14.1%,96
Tyler Mahle,tyler mahle,2 Tms,118.1,3.94,4.09,0.141,14.1%,88
Brad Keller,brad keller,PHI,31.1,3.97,3.71,0.141,14.1%,109
Matt Brash,matt brash,SEA,16.2,3.99,3.7,0.141,14.1%,102
Trevor Rogers,trevor rogers,BAL,132.2,4.17,4.15,0.14,14.0%,102
Seranthony Domínguez,seranthony domnguez,2 Tms,47.2,4.13,3.85,0.14,14.0%,110
Mick Abel,mick abel,MIN,20.1,4.3,4.1,0.14,14.0%,111
Trevor Richards,trevor richards,2 Tms,64.0,4.59,4.06,0.14,14.0%,90
Peter Lambert,peter lambert,HOU,122.1,4.44,4.19,0.14,14.0%,92
Justin Wrobleski,justin wrobleski,LAD,126.1,4.18,4.16,0.14,14.0%,97
Jake Bennett,jake bennett,BOS,87.2,3.88,4.1,0.139,13.9%,93
Yohan Ramírez,yohan ramrez,PIT,71.1,4.01,3.81,0.139,13.9%,109
Kenley Jansen,kenley jansen,DET,34.1,4.61,4.18,0.139,13.9%,109
Joel Payamps,joel payamps,ATL,7.2,4.86,4.16,0.139,13.9%,96
TJ Shook,tj shook,COL,7.2,4.6,4.11,0.139,13.9%,84
Cionel Pérez,cionel prez,2 Tms,41.2,3.5,3.45,0.138,13.8%,106
Tom Cosgrove,tom cosgrove,WSH,13.1,4.83,4.06,0.138,13.8%,100
Alex McFarlane,alex mcfarlane,PHI,7.1,3.43,3.47,0.138,13.8%,127
Owen Murphy,owen murphy,ATL,6.2,4.9,4.31,0.138,13.8%,96
Roki Sasaki,roki sasaki,LAD,116.0,4.05,4.14,0.138,13.8%,111
Austin Warren,austin warren,NYM,37.2,4.09,3.83,0.138,13.8%,97
Orlando Ribalta,orlando ribalta,WSH,39.1,4.35,3.86,0.138,13.8%,103
Sean Newcomb,sean newcomb,CWS,72.0,3.8,3.7,0.1369999999999999,13.7%,105
Tyler Holton,tyler holton,DET,60.2,3.78,3.58,0.1369999999999999,13.7%,101
Tyler Alexander,tyler alexander,TEX,56.0,3.81,3.63,0.1369999999999999,13.7%,99
Noah Cameron,noah cameron,KC,143.1,4.05,4.16,0.1369999999999999,13.7%,97
Woo-Suk Go,woosuk go,MIN,4.0,3.97,3.7,0.136,13.6%,82
Kade Anderson,kade anderson,SEA,5.2,4.78,4.44,0.136,13.6%,97
Davis Martin,davis martin,CWS,125.0,4.0,4.12,0.136,13.6%,90
José Suarez,jos suarez,3 Tms,58.2,3.99,3.82,0.136,13.6%,96
Kyle Freeland,kyle freeland,COL,124.1,4.18,4.19,0.135,13.5%,91
Jack Leiter,jack leiter,TEX,80.0,4.25,4.22,0.135,13.5%,102
Troy Melton,troy melton,DET,90.0,3.99,4.15,0.135,13.5%,100
Josh Walker,josh walker,BAL,17.2,4.34,3.83,0.135,13.5%,96
Enmanuel De Jesus,enmanuel de jesus,DET,42.1,4.09,3.81,0.135,13.5%,103
Chase Silseth,chase silseth,2 Tms,50.0,4.2,3.94,0.134,13.4%,97
Michael Fulmer,michael fulmer,LAA,3.2,2.95,3.66,0.133,13.3%,107
Jordan Romano,jordan romano,2 Tms,22.2,4.36,3.95,0.133,13.3%,92
Kolby Allard,kolby allard,CLE,8.2,4.14,3.76,0.133,13.3%,93
Yusei Kikuchi,yusei kikuchi,LAA,36.0,4.29,4.22,0.133,13.3%,97
Mark Manfredi,mark manfredi,COL,3.0,3.76,4.27,0.133,13.3%,93
Logan Webb,logan webb,SF,141.2,3.77,3.96,0.133,13.3%,99
Kai-Wei Teng,kaiwei teng,HOU,70.0,4.52,4.09,0.133,13.3%,96
Gage Jump,gage jump,OAK,82.0,4.08,4.23,0.133,13.3%,107
Riley O'Brien,riley obrien,STL,52.2,4.04,3.72,0.133,13.3%,107
Julian Garcia,julian garcia,CIN,32.1,4.32,3.92,0.132,13.2%,87
Andrew Kittredge,andrew kittredge,BAL,39.1,3.86,3.77,0.132,13.2%,98
Adam Macko,adam macko,TOR,22.0,4.42,3.92,0.131,13.1%,98
Paxton Schultz,paxton schultz,WSH,32.1,4.65,4.02,0.131,13.1%,91
Brent Suter,brent suter,2 Tms,75.1,3.66,3.72,0.131,13.1%,98
Andrew Morris,andrew morris,MIN,60.2,4.02,3.84,0.13,13.0%,107
Tanner Banks,tanner banks,PHI,29.0,4.57,4.0,0.13,13.0%,101
Alan Rangel,alan rangel,PHI,26.0,4.62,4.16,0.13,13.0%,100
Jakob Junis,jakob junis,TEX,43.1,4.18,3.9,0.13,13.0%,95
Tatsuya Imai,tatsuya imai,HOU,67.2,4.23,4.32,0.13,13.0%,87
Luis Castillo,luis castillo,2 Tms,118.0,4.34,4.25,0.13,13.0%,96
Orion Kerkering,orion kerkering,PHI,51.0,4.62,3.98,0.129,12.9%,109
Blas Castaño,blas castao,COL,20.2,4.06,3.74,0.129,12.9%,93
José Soriano,jos soriano,2 Tms,144.1,3.75,4.09,0.129,12.9%,97
Gerardo Carrillo,gerardo carrillo,ARI,15.1,3.78,4.03,0.129,12.9%,100
Shane Baz,shane baz,BAL,151.1,4.12,4.27,0.129,12.9%,99
Cody Laweryson,cody laweryson,MIN,16.2,4.36,3.9,0.128,12.8%,93
Jordan Leasure,jordan leasure,CWS,18.2,5.19,4.51,0.128,12.8%,105
Zebby Matthews,zebby matthews,MIN,103.2,4.08,4.21,0.128,12.8%,95
George Soriano,george soriano,STL,57.0,4.2,3.92,0.128,12.8%,100
Jordan Hicks,jordan hicks,CWS,39.0,3.95,3.98,0.128,12.8%,114
Michael Wacha,michael wacha,KC,162.2,4.33,4.34,0.128,12.8%,98
Hunter Gaddis,hunter gaddis,CLE,44.2,4.6,4.03,0.128,12.8%,97
Mitch Farris,mitch farris,LAA,47.1,4.16,3.95,0.127,12.7%,93
Bryan Abreu,bryan abreu,HOU,48.2,4.3,4.14,0.127,12.7%,100
Jake Woodford,jake woodford,2 Tms,26.1,3.86,3.85,0.127,12.7%,98
Jake Irvin,jake irvin,WSH,77.1,4.64,4.34,0.127,12.7%,99
Antonio Senzatela,antonio senzatela,2 Tms,60.0,4.04,3.84,0.126,12.6%,103
Chad Patrick,chad patrick,MIL,91.0,4.33,4.09,0.126,12.6%,101
Jonathan Loáisiga,jonathan loisiga,ARI,52.1,3.77,3.64,0.126,12.6%,105
José A. Ferrer,jos a ferrer,SEA,54.1,3.93,3.56,0.126,12.6%,127
Brandon Sproat,brandon sproat,MIL,95.2,4.28,4.28,0.126,12.6%,100
Luis Severino,luis severino,OAK,62.2,4.13,4.3,0.125,12.5%,107
Patrick Sandoval,patrick sandoval,BOS,39.2,4.36,4.34,0.125,12.5%,102
Freddy Peralta,freddy peralta,2 Tms,135.0,4.34,4.31,0.125,12.5%,96
Calvin Faucher,calvin faucher,MIA,55.1,3.75,3.83,0.124,12.4%,104
Matt Waldron,matt waldron,2 Tms,37.0,4.55,4.11,0.124,12.4%,94
Tanner Bibee,tanner bibee,CLE,156.1,4.34,4.37,0.124,12.4%,103
Cooper Criswell,cooper criswell,SEA,30.2,3.65,3.44,0.124,12.4%,102
David Morgan,david morgan,SD,22.0,4.0,3.76,0.124,12.4%,102
Angel Chivilli,angel chivilli,NYY,16.2,4.78,4.06,0.123,12.3%,94
Tyler Kinley,tyler kinley,ATL,42.2,4.72,4.17,0.123,12.3%,103
Carlos Rodón,carlos rodn,NYY,54.1,4.27,4.42,0.123,12.3%,107
Ryan Rolison,ryan rolison,CHC,51.0,4.04,4.0,0.123,12.3%,103
Grant Anderson,grant anderson,MIL,52.0,4.47,4.09,0.122,12.2%,103
Casey Legumina,casey legumina,2 Tms,56.1,4.37,4.01,0.121,12.1%,112
Hunter Dobbins,hunter dobbins,STL,54.0,4.14,4.23,0.121,12.1%,96
Reynaldo López,reynaldo lpez,ATL,71.2,4.4,4.29,0.121,12.1%,90
Kris Bubic,kris bubic,KC,50.1,4.14,4.39,0.121,12.1%,94
Alex Lange,alex lange,KC,50.2,4.35,3.98,0.12,12.0%,96
Alec Gamboa,alec gamboa,BOS,19.1,3.58,3.71,0.12,12.0%,111
Jordan Wicks,jordan wicks,CHC,10.1,4.02,3.89,0.12,12.0%,97
Kumar Rocker,kumar rocker,TEX,126.2,4.27,4.31,0.119,11.9%,91
Jameson Taillon,jameson taillon,2 Tms,84.0,4.78,4.54,0.119,11.9%,92
Ryan Watson,ryan watson,2 Tms,61.0,4.43,4.04,0.119,11.9%,91
Brendon Little,brendon little,TOR,19.0,3.78,4.21,0.118,11.8%,110
Mitchell Parker,mitchell parker,WSH,39.2,4.49,4.08,0.118,11.8%,95
Raymond Burgos,raymond burgos,BOS,10.0,4.05,3.89,0.118,11.8%,89
Joey Gerber,joey gerber,NYM,8.1,4.42,4.25,0.118,11.8%,100
Kyle Bradish,kyle bradish,BAL,138.2,4.04,4.32,0.118,11.8%,100
Griffin Canning,griffin canning,SD,75.1,4.36,4.25,0.1169999999999999,11.7%,91
Trey Yesavage,trey yesavage,TOR,93.2,4.61,4.54,0.1169999999999999,11.7%,108
Yuki Matsui,yuki matsui,SD,50.2,4.8,4.29,0.1169999999999999,11.7%,104
Sandy Alcantara,sandy alcantara,MIA,183.2,4.2,4.37,0.1159999999999999,11.6%,100
Pierce Johnson,pierce johnson,CIN,38.1,4.34,4.08,0.1159999999999999,11.6%,100
Bryce Elder,bryce elder,ATL,137.2,4.16,4.38,0.1159999999999999,11.6%,85
Gabe Speier,gabe speier,SEA,35.0,4.55,4.03,0.1159999999999999,11.6%,114
Anthony Banda,anthony banda,MIN,34.1,5.02,4.09,0.115,11.5%,103
Jalen Beeks,jalen beeks,TEX,26.0,4.14,4.04,0.115,11.5%,89
Landen Roupp,landen roupp,SF,134.2,4.07,4.34,0.115,11.5%,98
Michael King,michael king,SD,149.0,4.35,4.4,0.115,11.5%,96
Brad Lord,brad lord,WSH,65.0,4.01,3.77,0.115,11.5%,95
Blade Tidwell,blade tidwell,SF,32.2,4.34,4.28,0.115,11.5%,105
Landon Knack,landon knack,LAD,7.2,5.65,4.53,0.114,11.4%,94
Cole Henry,cole henry,WSH,13.2,5.85,4.39,0.114,11.4%,96
Edwin Díaz,edwin daz,LAD,13.2,5.26,4.19,0.114,11.4%,104
Cam Sanders,cam sanders,2 Tms,19.1,4.67,4.19,0.114,11.4%,103
J.T. Ginn,jt ginn,OAK,132.1,4.23,4.36,0.114,11.4%,93
Aaron Civale,aaron civale,2 Tms,94.2,4.81,4.6,0.113,11.3%,97
David Sandlin,david sandlin,CWS,24.2,4.19,4.29,0.113,11.3%,98
Ryne Stanek,ryne stanek,STL,51.0,4.32,4.13,0.113,11.3%,109
Matthew Boyd,matthew boyd,CHC,91.0,4.45,4.45,0.113,11.3%,96
Ryne Nelson,ryne nelson,ARI,83.1,4.94,4.7,0.113,11.3%,106
Camilo Doval,camilo doval,2 Tms,50.2,4.01,3.9,0.1119999999999999,11.2%,100
Andrew Alvarez,andrew alvarez,WSH,80.0,3.87,4.15,0.1119999999999999,11.2%,96
Brandon Pfaadt,brandon pfaadt,ARI,98.1,4.24,4.27,0.1119999999999999,11.2%,94
Johan Oviedo,johan oviedo,BOS,3.2,5.56,4.14,0.111,11.1%,105
Jack Weisenburger,jack weisenburger,NYM,4.1,5.06,4.37,0.111,11.1%,104
Andrew Sears,andrew sears,DET,4.0,5.36,4.65,0.111,11.1%,100
Daniel Lynch IV,daniel lynch iv,KC,58.1,4.35,4.13,0.111,11.1%,104
Phil Maton,phil maton,CHC,27.2,4.32,4.06,0.11,11.0%,103
Keider Montero,keider montero,DET,133.2,4.6,4.5,0.11,11.0%,94
Brennan Bernardino,brennan bernardino,COL,52.0,4.29,4.08,0.11,11.0%,92
Zac Thornton,zac thornton,NYM,50.1,4.11,4.45,0.11,11.0%,98
Brady Singer,brady singer,CIN,131.2,4.42,4.45,0.11,11.0%,92
Andrew Painter,andrew painter,PHI,92.1,4.54,4.45,0.11,11.0%,103
Trevor McDonald,trevor mcdonald,SF,70.1,4.12,4.07,0.11,11.0%,99
Walker Buehler,walker buehler,SD,126.1,4.21,4.38,0.11,11.0%,96
Nick Martinez,nick martinez,TB,147.2,4.5,4.67,0.11,11.0%,98
Cal Quantrill,cal quantrill,TEX,83.2,4.62,4.41,0.11,11.0%,89
Paul Blackburn,paul blackburn,NYY,73.0,3.89,3.85,0.109,10.9%,92
Anthony Nunez,anthony nunez,BAL,46.0,4.32,4.15,0.109,10.9%,107
Craig Yoho,craig yoho,2 Tms,28.1,4.58,4.16,0.108,10.8%,96
Gabriel Hughes,gabriel hughes,COL,42.2,4.3,4.45,0.108,10.8%,85
Kodai Senga,kodai senga,NYM,52.0,4.9,4.57,0.108,10.8%,97
Lance McCullers Jr.,lance mccullers jr,2 Tms,44.0,4.29,4.53,0.108,10.8%,97
Reiver Sanmartin,reiver sanmartin,SF,12.2,3.77,3.72,0.107,10.7%,98
Cole Sands,cole sands,MIN,12.0,4.77,4.18,0.107,10.7%,91
Edward Cabrera,edward cabrera,CHC,76.0,4.21,4.49,0.106,10.6%,94
Craig Kimbrel,craig kimbrel,3 Tms,39.0,4.69,4.29,0.106,10.6%,110
Hayden Wesneski,hayden wesneski,HOU,27.2,4.49,4.55,0.106,10.6%,94
Chris Martin,chris martin,TEX,14.0,4.49,4.32,0.106,10.6%,102
Chris Murphy,chris murphy,CWS,30.0,5.32,4.46,0.106,10.6%,108
Michael McGreevy,michael mcgreevy,STL,137.1,4.17,4.47,0.106,10.6%,81
Patrick Corbin,patrick corbin,TOR,80.0,4.41,4.47,0.106,10.6%,94
Jonathan Heasley,jonathan heasley,TB,4.0,5.11,4.82,0.105,10.5%,92
Carmen Mlodzinski,carmen mlodzinski,PIT,105.2,4.31,4.33,0.105,10.5%,92
Bryan King,bryan king,HOU,53.0,4.38,4.02,0.105,10.5%,100
Seth Lugo,seth lugo,KC,145.1,4.45,4.55,0.105,10.5%,89
Hunter Brown,hunter brown,HOU,74.1,4.12,4.44,0.105,10.5%,104
Beck Way,beck way,KC,23.1,3.86,3.87,0.105,10.5%,99
Slade Cecconi,slade cecconi,CLE,110.0,4.39,4.5,0.105,10.5%,94
Jason Adam,jason adam,SD,32.1,4.57,4.17,0.104,10.4%,98
Anthony Kay,anthony kay,CWS,127.1,4.57,4.44,0.104,10.4%,104
Walbert Ureña,walbert urea,LAA,112.2,4.21,4.42,0.104,10.4%,99
Grayson Rodriguez,grayson rodriguez,LAA,66.0,4.52,4.57,0.104,10.4%,104
Cody Bradford,cody bradford,TEX,20.2,4.82,4.9,0.103,10.3%,86
Cristian Javier,cristian javier,HOU,40.1,5.16,4.81,0.103,10.3%,100
Taylor Clarke,taylor clarke,ARI,58.2,4.22,4.08,0.103,10.3%,92
Jacob Lopez,jacob lopez,OAK,94.0,5.08,4.75,0.103,10.3%,97
Eddy Yean,eddy yean,WSH,10.0,4.45,4.09,0.103,10.3%,87
Beau Brieske,beau brieske,DET,9.1,4.6,4.27,0.103,10.3%,98
Javier Assad,javier assad,CHC,83.1,4.35,4.4,0.102,10.2%,99
Brandon Young,brandon young,BAL,123.1,4.47,4.56,0.102,10.2%,97
Jesse Scholtens,jesse scholtens,TB,44.2,4.67,4.34,0.102,10.2%,93
Jose Cuas,jose cuas,KC,13.0,4.75,4.48,0.102,10.2%,101
David Peterson,david peterson,2 Tms,118.1,4.07,4.26,0.102,10.2%,89
Janson Junk,janson junk,MIA,97.1,4.41,4.55,0.1009999999999999,10.1%,100
Tobias Myers,tobias myers,NYM,46.0,4.57,4.4,0.1009999999999999,10.1%,103
Sam Moll,sam moll,CIN,52.2,4.16,4.09,0.1,10.0%,102
DL Hall,dl hall,MIL,43.0,4.25,4.4,0.1,10.0%,102
Brandan Bidois,brandan bidois,PIT,15.2,5.53,4.59,0.1,10.0%,110
Welinton Herrera,welinton herrera,COL,2.1,4.6,4.38,0.1,10.0%,91
Tyler Samaniego,tyler samaniego,BOS,20.1,4.3,4.15,0.1,10.0%,101
Matt Strahm,matt strahm,KC,35.2,5.63,4.71,0.099,9.9%,104
Gus Varland,gus varland,WSH,31.2,5.09,4.51,0.099,9.9%,102
Steven Matz,steven matz,TB,65.2,4.51,4.53,0.099,9.9%,99
Andre Pallante,andre pallante,STL,136.0,3.95,4.21,0.099,9.9%,97
Huascar Brazobán,huascar brazobn,2 Tms,62.2,4.08,4.18,0.099,9.9%,96
Robert Stock,robert stock,NYM,16.2,5.32,4.76,0.099,9.9%,97
Zack Kelly,zack kelly,BOS,16.1,4.14,4.11,0.099,9.9%,108
Bailey Ober,bailey ober,MIN,108.1,4.92,4.84,0.098,9.8%,91
Jackson Jobe,jackson jobe,DET,14.0,4.42,4.25,0.098,9.8%,105
Stephen Kolek,stephen kolek,KC,54.0,4.2,4.5,0.098,9.8%,92
JP Sears,jp sears,SD,32.2,4.74,4.6,0.098,9.8%,91
Braydon Fisher,braydon fisher,TOR,65.2,4.44,4.36,0.098,9.8%,100
Jaden Hill,jaden hill,COL,28.2,4.72,4.28,0.098,9.8%,98
Jonathan Pintaro,jonathan pintaro,NYM,20.0,4.42,4.27,0.098,9.8%,109
Spencer Arrighetti,spencer arrighetti,2 Tms,91.1,5.0,4.72,0.0969999999999999,9.7%,100
Clay Holmes,clay holmes,2 Tms,68.2,3.76,4.06,0.0969999999999999,9.7%,99
Zach Pop,zach pop,PHI,7.1,4.73,4.26,0.0969999999999999,9.7%,105
Matt Svanson,matt svanson,STL,43.1,4.74,4.32,0.0969999999999999,9.7%,96
Dennis Santana,dennis santana,2 Tms,44.1,5.02,4.43,0.096,9.6%,91
Isaac Mattson,isaac mattson,PIT,36.2,4.8,4.46,0.096,9.6%,98
Noah Schultz,noah schultz,CWS,65.1,4.97,4.7,0.096,9.6%,97
Brayan Bello,brayan bello,BOS,90.1,3.98,4.07,0.096,9.6%,93
Eduardo Rodriguez,eduardo rodriguez,ARI,155.0,4.41,4.67,0.096,9.6%,92
Sam Bachman,sam bachman,LAA,45.2,4.36,4.25,0.096,9.6%,102
Brock Burke,brock burke,CIN,62.2,4.77,4.38,0.096,9.6%,105
Shawn Armstrong,shawn armstrong,CLE,33.0,4.87,4.36,0.096,9.6%,102
John Brebbia,john brebbia,COL,4.1,5.65,5.08,0.095,9.5%,88
Carlos Rodriguez,carlos rodriguez,MIL,9.1,5.25,4.72,0.095,9.5%,86
Mike Burrows,mike burrows,HOU,94.2,4.84,4.72,0.095,9.5%,94
Jason Foley,jason foley,SF,13.0,3.98,4.03,0.094,9.4%,99
Mitch Keller,mitch keller,PIT,115.2,4.59,4.7,0.093,9.3%,92
Kendry Rojas,kendry rojas,MIN,29.2,4.7,4.69,0.092,9.2%,104
Cade Povich,cade povich,BAL,28.1,4.85,4.66,0.092,9.2%,101
Vince Velasquez,vince velasquez,CHC,3.1,5.2,5.48,0.091,9.1%,91
Brooks Kriske,brooks kriske,OAK,2.2,4.98,4.7,0.091,9.1%,98
Yovanny Cruz,yovanny cruz,2 Tms,9.1,4.97,4.46,0.091,9.1%,115
Keaton Winn,keaton winn,SF,43.0,4.18,4.12,0.091,9.1%,98
Tyler Uberstine,tyler uberstine,BOS,2.2,4.98,4.99,0.091,9.1%,108
Eduardo Rivera,eduardo rivera,BOS,10.0,4.24,4.53,0.091,9.1%,101
Kohl Drake,kohl drake,ARI,16.2,6.05,5.38,0.091,9.1%,93
Quinn Mathews,quinn mathews,STL,14.0,4.78,4.75,0.091,9.1%,97
Scott Blewett,scott blewett,2 Tms,18.1,3.83,3.9,0.09,9.0%,92
Carson Palmquist,carson palmquist,WSH,16.1,5.12,4.67,0.09,9.0%,107
